GROUP_ID,GROUP_NAME,GP,W,L,W_PCT,MIN,FG_PCT,FG3_PCT,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PTS,PLUS_MINUS,SUM_TIME_PLAYED,OFF_RATING,DEF_RATING,NET_RATING,PACE,TS_PCT,EFG_PCT,AST_PCT,AST_TO,REB_PCT
-1628392-1628983-1629652-1631096-1641717-,I. Hartenstein - S. Gilgeous-Alexander - L. Dort - C. Holmgren - C. Wallace,16,16,0,1.0,166.621667,0.514,0.404,0.838,32,116,148,100,43.0,46,25,423,66.0,499865,120.9,102.3,18.6,100.68,0.613,0.581,0.617,2.33,0.511
-1628983-1629652-1631096-1631114-1641717-,S. Gilgeous-Alexander - L. Dort - C. Holmgren - J. Williams - C. Wallace,15,11,4,0.733,126.046667,0.541,0.418,0.897,16,91,107,75,34.0,28,17,355,71.0,378140,124.1,99.6,24.5,108.72,0.664,0.626,0.573,2.21,0.506
-1628392-1628983-1629652-1631096-1631114-,I. Hartenstein - S. Gilgeous-Alexander - L. Dort - C. Holmgren - J. Williams,11,6,5,0.545,113.166667,0.575,0.493,0.861,30,88,118,70,30.0,24,17,317,68.0,339500,132.6,103.8,28.9,101.58,0.675,0.653,0.556,2.33,0.54
-1628983-1629652-1631096-1641717-1642349-,S. Gilgeous-Alexander - L. Dort - C. Holmgren - C. Wallace - A. Mitchell,12,10,2,0.833,54.693333,0.523,0.349,0.905,11,35,46,31,8.0,15,5,146,29.0,164080,130.4,101.7,28.6,99.61,0.628,0.593,0.554,3.88,0.458
-1628392-1628983-1631096-1641717-1642349-,I. Hartenstein - S. Gilgeous-Alexander - C. Holmgren - C. Wallace - A. Mitchell,6,6,0,1.0,53.315,0.553,0.375,0.826,14,53,67,32,17.0,8,8,145,35.0,159945,127.2,94.8,32.4,103.54,0.641,0.612,0.561,1.88,0.625
-1628983-1629652-1630198-1631119-1641717-,S. Gilgeous-Alexander - L. Dort - I. Joe - J. Williams - C. Wallace,13,10,3,0.769,48.645,0.44,0.362,0.714,3,33,36,21,19.0,10,4,101,-22.0,145935,92.7,111.8,-19.2,108.05,0.56,0.542,0.568,1.11,0.414
-1628983-1629652-1630598-1631096-1631114-,S. Gilgeous-Alexander - L. Dort - A. Wiggins - C. Holmgren - J. Williams,6,4,2,0.667,46.94,0.456,0.179,0.833,7,30,37,22,14.0,10,7,102,-13.0,140820,102.0,113.9,-11.9,102.77,0.553,0.487,0.611,1.57,0.374
-1627936-1628983-1630198-1631119-1642349-,A. Caruso - S. Gilgeous-Alexander - I. Joe - J. Williams - A. Mitchell,10,9,1,0.9,39.508333,0.519,0.591,0.792,12,30,42,30,7.0,9,4,129,49.0,118525,150.0,92.0,58.0,105.09,0.704,0.679,0.714,4.29,0.573
-1628983-1629652-1630598-1631096-1631119-,S. Gilgeous-Alexander - L. Dort - A. Wiggins - C. Holmgren - J. Williams,6,4,2,0.667,37.025,0.397,0.241,0.813,11,32,43,17,8.0,5,6,78,2.0,111075,98.7,97.4,1.3,101.77,0.487,0.445,0.586,2.13,0.528
-1628392-1628983-1629652-1631096-1642349-,I. Hartenstein - S. Gilgeous-Alexander - L. Dort - C. Holmgren - A. Mitchell,7,6,1,0.857,36.75,0.423,0.263,0.84,11,30,41,15,5.0,5,4,86,12.0,110250,110.3,96.1,14.2,101.22,0.524,0.458,0.5,3.0,0.506
-1628392-1628983-1629652-1630598-1641717-,I. Hartenstein - S. Gilgeous-Alexander - L. Dort - A. Wiggins - C. Wallace,6,6,0,1.0,36.716667,0.417,0.207,0.929,11,28,39,12,7.0,6,7,79,-5.0,110150,103.9,109.1,-5.1,100.01,0.505,0.458,0.4,1.71,0.477
-1629026-1642260-1642362-1642382-1642964-,K. Williams - N. Topić - P. Sandfort - B. Carlson - B. Barnhizer,2,0,2,0.0,34.846667,0.412,0.32,0.5,9,24,33,19,10.0,6,6,69,-27.0,104540,92.0,131.5,-39.5,101.93,0.477,0.471,0.679,1.9,0.507
-1627936-1628983-1631119-1641717-1642349-,A. Caruso - S. Gilgeous-Alexander - J. Williams - C. Wallace - A. Mitchell,9,6,3,0.667,34.373333,0.431,0.3,0.824,3,28,31,16,9.0,8,3,73,8.0,103120,98.6,85.5,13.1,104.73,0.557,0.509,0.64,1.78,0.443
-1629026-1630598-1631096-1631114-1642349-,K. Williams - A. Wiggins - C. Holmgren - J. Williams - A. Mitchell,4,4,0,1.0,31.45,0.593,0.313,0.714,7,19,26,18,13.0,6,3,74,3.0,94350,113.8,109.2,4.6,99.21,0.648,0.639,0.563,1.38,0.574
-1628983-1629652-1631096-1631119-1641717-,S. Gilgeous-Alexander - L. Dort - C. Holmgren - J. Williams - C. Wallace,10,7,3,0.7,30.418333,0.491,0.333,0.714,3,23,26,14,4.0,2,6,66,1.0,91255,113.8,101.6,12.2,96.26,0.588,0.575,0.538,3.5,0.429
